"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","ALCOHOLTYPE (CODE)","ALCOHOLTYPE (DISPLAY)","ALCOHOLTYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","EST","Estonia","","SA_BEER","Beer","","27","27.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","EST","Estonia","","SA_WINE","Wine","","76.8","76.80000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","FIN","Finland","","SA_BEER","Beer","","299","299.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FIN","Finland","","SA_BEER","Beer","","143.52","143.52000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FIN","Finland","","SA_WINE","Wine","","312","312.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FRA","France","","SA_BEER","Beer","","13.2","13.20000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","DEU","Germany","","SA_SPIRITS","Spirits","","1303","1303.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","GRC","Greece","","SA_BEER","Beer","","13.6","13.60000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","HUN","Hungary","","SA_BEER","Beer","","26.8","26.80000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ISL","Iceland","","SA_SPIRITS","Spirits","","6825","6825.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ITA","Italy","","SA_WINE","Wine","","0","0.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ITA","Italy","","SA_SPIRITS","Spirits","","800.01","800.01000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","LVA","Latvia","","SA_WINE","Wine","","63.5","63.50000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","LVA","Latvia","","SA_SPIRITS","Spirits","","1256.5","1256.50000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","LTU","Lithuania","","SA_BEER","Beer","","11.8","11.80000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","LTU","Lithuania","","SA_WINE","Wine","","57.34","57.34000","","","","",""
