GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001547,2008,2008,,EUR,Europe,,EST,Estonia,,SA_SPIRITS,Spirits,,1291.1,1291.1,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,FIN,Finland,,SA_SPIRITS,Spirits,,3580,3580,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,FIN,Finland,,SA_WINE,Wine,,283,283,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,FRA,France,,SA_WINE,Wine,,0.6,0.6,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,FRA,France,,SA_BEER,Beer,,13,13,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,DEU,Germany,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,DEU,Germany,,SA_BEER,Beer,,9.4,9.4,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,DEU,Germany,,SA_SPIRITS,Spirits,,1303,1303,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,GRC,Greece,,SA_BEER,Beer,,31.2,31.2,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,HUN,Hungary,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,IRL,Ireland,,SA_WINE,Wine,,321.38,321.38,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,IRL,Ireland,,SA_BEER,Beer,,157.1,157.1,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,ITA,Italy,,SA_BEER,Beer,,29.4,29.4,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,ITA,Italy,,SA_SPIRITS,Spirits,,800.01,800.01,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,LVA,Latvia,,SA_SPIRITS,Spirits,,1325.44,1325.44,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,LVA,Latvia,,SA_WINE,Wine,,64.64,64.64,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,LTU,Lithuania,,SA_WINE,Wine,,57.34,57.34,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,LUX,Luxembourg,,SA_BEER,Beer,,9.9,9.9,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,LUX,Luxembourg,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,MLT,Malta,,SA_BEER,Beer,,9.3,9.3,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,MNE,Montenegro,,SA_SPIRITS,Spirits,,650,650,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,NLD,Netherlands,,SA_SPIRITS,Spirits,,1504,1504,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,NOR,Norway,,SA_WINE,Wine,,517.7,517.7,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,POL,Poland,,SA_WINE,Wine,,46.7,46.7,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,POL,Poland,,SA_BEER,Beer,,24.3,24.3,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,PRT,Portugal,,SA_BEER,Beer,,16.9,16.9,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,ROU,Romania,,SA_SPIRITS,Spirits,,750,750,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,ROU,Romania,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,SVK,Slovakia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,SVK,Slovakia,,SA_BEER,Beer,,19.8,19.8,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,SVN,Slovenia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,SVN,Slovenia,,SA_BEER,Beer,,19.8,19.8,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,ESP,Spain,,SA_BEER,Beer,,9.96,9.96,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,SWE,Sweden,,SA_WINE,Wine,,235.61,235.61,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,CHE,Switzerland,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,CHE,Switzerland,,SA_BEER,Beer,,14.34,14.34,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,BGR,Bulgaria,,SA_BEER,Beer,,9.2,9.2,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,HRV,Croatia,,SA_SPIRITS,Spirits,,713.76,713.76,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,FIN,Finland,,SA_SPIRITS,Spirits,,4340,4340,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,HUN,Hungary,,SA_SPIRITS,Spirits,,1167.48,1167.48,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,LTU,Lithuania,,SA_WINE,Wine,,57.34,57.34,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,LUX,Luxembourg,,SA_SPIRITS,Spirits,,1041.15,1041.15,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,POL,Poland,,SA_SPIRITS,Spirits,,1208.08,1208.08,,,,,
